"","customer","supplier","qty"
"6622","5N Plus Belgium SA (ex Sidech)","BASF",0
"6623","5N Plus Belgium SA (ex Sidech)","BASF",0
"6624","5N Plus Belgium SA (ex Sidech)","BASF",0
"6625","5N Plus Belgium SA (ex Sidech)","BASF",0
"6626","5N Plus Belgium SA (ex Sidech)","BASF",0
"6627","5N Plus Belgium SA (ex Sidech)","BASF",0
"6628","5N Plus Belgium SA (ex Sidech)","BASF",0
"6629","5N Plus Belgium SA (ex Sidech)","BASF",0
"6630","5N Plus Belgium SA (ex Sidech)","BASF",0
"6631","5N Plus Belgium SA (ex Sidech)","BASF",0
"6632","5N Plus Belgium SA (ex Sidech)","BASF",0
"6633","5N Plus Belgium SA (ex Sidech)","BASF",0
"6634","5N Plus Belgium SA (ex Sidech)","BASF",0
"6635","5N Plus Belgium SA (ex Sidech)","BASF",0
"6636","5N Plus Belgium SA (ex Sidech)","BASF",0
"6637","5N Plus Belgium SA (ex Sidech)","BASF",0
"6638","5N Plus Belgium SA (ex Sidech)","BASF",0
"6639","5N Plus Belgium SA (ex Sidech)","BASF",0
"6640","5N Plus Belgium SA (ex Sidech)","BASF",0
"6641","5N Plus Belgium SA (ex Sidech)","BASF",0
"6642","5N Plus Belgium SA (ex Sidech)","BASF",0
"6643","5N Plus Belgium SA (ex Sidech)","BASF",0
"6644","5N Plus Belgium SA (ex Sidech)","BASF",0
"6645","5N Plus Belgium SA (ex Sidech)","BASF",0
"6646","5N Plus Belgium SA (ex Sidech)","BASF",0
"6647","5N Plus Belgium SA (ex Sidech)","BASF",0
"6648","5N Plus Belgium SA (ex Sidech)","BASF",0
"6649","5N Plus Belgium SA (ex Sidech)","BASF",0
"6650","5N Plus Belgium SA (ex Sidech)","BASF",0
"6651","5N Plus Belgium SA (ex Sidech)","BASF",0
"6652","5N Plus Belgium SA (ex Sidech)","BASF",0
"6653","5N Plus Belgium SA (ex Sidech)","BASF",0
"6654","5N Plus Belgium SA (ex Sidech)","BASF",0
"6655","5N Plus Belgium SA (ex Sidech)","BASF",0
"6656","5N Plus Belgium SA (ex Sidech)","BASF",0
"6657","5N Plus Belgium SA (ex Sidech)","BASF",0
"6658","5N Plus Belgium SA (ex Sidech)","BASF",0
"6659","5N Plus Belgium SA (ex Sidech)","BASF",0
"6660","5N Plus Belgium SA (ex Sidech)","BASF",0
"6661","5N Plus Belgium SA (ex Sidech)","BASF",0
"6662","5N Plus Belgium SA (ex Sidech)","BASF",0
"6663","5N Plus Belgium SA (ex Sidech)","BASF",0
"6664","5N Plus Belgium SA (ex Sidech)","BASF",0
"6665","5N Plus Belgium SA (ex Sidech)","BASF",0
"6666","5N Plus Belgium SA (ex Sidech)","BASF",0
"6667","5N Plus Belgium SA (ex Sidech)","BASF",0
"6668","5N Plus Belgium SA (ex Sidech)","BASF",0
"6669","5N Plus Belgium SA (ex Sidech)","BASF",0
"6670","5N Plus Belgium SA (ex Sidech)","BASF",0
"6671","5N Plus Belgium SA (ex Sidech)","BASF",0
"6672","5N Plus Belgium SA (ex Sidech)","BASF",0
"6673","5N Plus Belgium SA (ex Sidech)","BASF",0
"6674","5N Plus Belgium SA (ex Sidech)","BASF",0
"6675","5N Plus Belgium SA (ex Sidech)","BASF",0
"6676","5N Plus Belgium SA (ex Sidech)","BASF",0
"6677","5N Plus Belgium SA (ex Sidech)","BASF",0
"6678","5N Plus Belgium SA (ex Sidech)","BASF",0
"6679","5N Plus Belgium SA (ex Sidech)","BASF",0
"6680","5N Plus Belgium SA (ex Sidech)","BASF",0
"6681","5N Plus Belgium SA (ex Sidech)","BASF",0
"6682","5N Plus Belgium SA (ex Sidech)","BASF",0
"6683","5N Plus Belgium SA (ex Sidech)","BASF",0
"6684","5N Plus Belgium SA (ex Sidech)","BASF",0
"6685","5N Plus Belgium SA (ex Sidech)","BASF",0
"6686","5N Plus Belgium SA (ex Sidech)","BASF",0
"6687","5N Plus Belgium SA (ex Sidech)","BASF",0
"6688","5N Plus Belgium SA (ex Sidech)","BASF",0
"6689","5N Plus Belgium SA (ex Sidech)","BASF",0
"6690","5N Plus Belgium SA (ex Sidech)","BASF",0
"6691","5N Plus Belgium SA (ex Sidech)","BASF",0
"6692","5N Plus Belgium SA (ex Sidech)","BASF",0
"6693","5N Plus Belgium SA (ex Sidech)","BASF",0
"6694","5N Plus Belgium SA (ex Sidech)","BASF",0
"6695","5N Plus Belgium SA (ex Sidech)","BASF",0
"6696","5N Plus Belgium SA (ex Sidech)","BASF",0
"6697","5N Plus Belgium SA (ex Sidech)","BASF",0
"6698","5N Plus Belgium SA (ex Sidech)","BASF",0
"6699","5N Plus Belgium SA (ex Sidech)","BASF",0
"6700","5N Plus Belgium SA (ex Sidech)","BASF",0
"6701","5N Plus Belgium SA (ex Sidech)","BASF",0
"6702","5N Plus Belgium SA (ex Sidech)","BASF",0
"6703","5N Plus Belgium SA (ex Sidech)","BASF",0
"6704","5N Plus Belgium SA (ex Sidech)","BASF",0
"6705","5N Plus Belgium SA (ex Sidech)","BASF",0
"6706","5N Plus Belgium SA (ex Sidech)","BASF",0
"6707","5N Plus Belgium SA (ex Sidech)","BASF",0
"6708","5N Plus Belgium SA (ex Sidech)","BASF",0
"6709","5N Plus Belgium SA (ex Sidech)","BASF",0
"6710","5N Plus Belgium SA (ex Sidech)","BASF",0
"6711","5N Plus Belgium SA (ex Sidech)","BASF",0
"6712","5N Plus Belgium SA (ex Sidech)","BASF",0
"6713","5N Plus Belgium SA (ex Sidech)","BASF",0
"6714","5N Plus Belgium SA (ex Sidech)","BASF",0
"6715","5N Plus Belgium SA (ex Sidech)","BASF",0
"6716","5N Plus Belgium SA (ex Sidech)","BASF",0
"6717","5N Plus Belgium SA (ex Sidech)","BASF",0
"6718","5N Plus Belgium SA (ex Sidech)","BASF",0
"6719","5N Plus Belgium SA (ex Sidech)","BASF",0
"6720","5N Plus Belgium SA (ex Sidech)","BASF",0
"6721","5N Plus Belgium SA (ex Sidech)","BASF",0
"6722","5N Plus Belgium SA (ex Sidech)","BASF",0
"6723","5N Plus Belgium SA (ex Sidech)","BASF",0
"6724","5N Plus Belgium SA (ex Sidech)","BASF",0
"6725","5N Plus Belgium SA (ex Sidech)","BASF",0
"6726","5N Plus Belgium SA (ex Sidech)","BASF",0
"6727","5N Plus Belgium SA (ex Sidech)","BASF",0
"6728","5N Plus Belgium SA (ex Sidech)","BASF",0
"6729","5N Plus Belgium SA (ex Sidech)","BASF",0
"6730","5N Plus Belgium SA (ex Sidech)","BASF",0
"6731","5N Plus Belgium SA (ex Sidech)","BASF",0
"6732","5N Plus Belgium SA (ex Sidech)","BASF",0
"6733","5N Plus Belgium SA (ex Sidech)","BASF",0
"6734","5N Plus Belgium SA (ex Sidech)","BASF",0
"6735","5N Plus Belgium SA (ex Sidech)","BASF",0
"6736","5N Plus Belgium SA (ex Sidech)","BASF",0
"6737","5N Plus Belgium SA (ex Sidech)","BASF",0
"6738","5N Plus Belgium SA (ex Sidech)","BASF",0
"6739","5N Plus Belgium SA (ex Sidech)","BASF",0
"6740","5N Plus Belgium SA (ex Sidech)","BASF",0
"6741","5N Plus Belgium SA (ex Sidech)","BASF",0
"6742","5N Plus Belgium SA (ex Sidech)","BASF",0
"6743","5N Plus Belgium SA (ex Sidech)","BASF",0
"6744","5N Plus Belgium SA (ex Sidech)","BASF",0
"6745","5N Plus Belgium SA (ex Sidech)","BASF",0
"6746","5N Plus Belgium SA (ex Sidech)","BASF",0
"6747","5N Plus Belgium SA (ex Sidech)","BASF",0
"6748","5N Plus Belgium SA (ex Sidech)","BASF",0
"6749","5N Plus Belgium SA (ex Sidech)","BASF",0
"6750","5N Plus Belgium SA (ex Sidech)","BASF",0
"6751","5N Plus Belgium SA (ex Sidech)","BASF",0
"6752","5N Plus Belgium SA (ex Sidech)","BASF",0
"6753","5N Plus Belgium SA (ex Sidech)","BASF",0
"6754","5N Plus Belgium SA (ex Sidech)","BASF",0
"6755","5N Plus Belgium SA (ex Sidech)","BASF",0
"6756","5N Plus Belgium SA (ex Sidech)","BASF",0
"6757","5N Plus Belgium SA (ex Sidech)","BASF",0
"6758","5N Plus Belgium SA (ex Sidech)","BASF",0
"6759","5N Plus Belgium SA (ex Sidech)","BASF",0
"6760","5N Plus Belgium SA (ex Sidech)","BASF",0
"6761","5N Plus Belgium SA (ex Sidech)","BASF",0
"6762","5N Plus Belgium SA (ex Sidech)","BASF",0
"6763","5N Plus Belgium SA (ex Sidech)","BASF",0
"6764","5N Plus Belgium SA (ex Sidech)","BASF",0
"6765","5N Plus Belgium SA (ex Sidech)","BASF",0
"6766","5N Plus Belgium SA (ex Sidech)","BASF",0
"6767","5N Plus Belgium SA (ex Sidech)","BASF",0
"6768","5N Plus Belgium SA (ex Sidech)","BASF",0
"6769","5N Plus Belgium SA (ex Sidech)","BASF",0
"6770","5N Plus Belgium SA (ex Sidech)","BASF",0
"6771","5N Plus Belgium SA (ex Sidech)","BASF",0
"6772","5N Plus Belgium SA (ex Sidech)","BASF",0
"6773","5N Plus Belgium SA (ex Sidech)","BASF",0
"6774","5N Plus Belgium SA (ex Sidech)","BASF",0
"6775","5N Plus Belgium SA (ex Sidech)","BASF",0
"6776","5N Plus Belgium SA (ex Sidech)","BASF",0
"6777","5N Plus Belgium SA (ex Sidech)","BASF",0
"6778","5N Plus Belgium SA (ex Sidech)","BASF",0
"6779","5N Plus Belgium SA (ex Sidech)","BASF",0
"6780","5N Plus Belgium SA (ex Sidech)","BASF",0
"6781","5N Plus Belgium SA (ex Sidech)","BASF",0
"6782","5N Plus Belgium SA (ex Sidech)","BASF",0
"6783","5N Plus Belgium SA (ex Sidech)","BASF",0
"6784","5N Plus Belgium SA (ex Sidech)","BASF",0
"6785","5N Plus Belgium SA (ex Sidech)","BASF",0
"6786","5N Plus Belgium SA (ex Sidech)","BASF",0
"6787","5N Plus Belgium SA (ex Sidech)","BASF",0
"6788","5N Plus Belgium SA (ex Sidech)","BASF",0
"6789","5N Plus Belgium SA (ex Sidech)","BASF",0
"6790","5N Plus Belgium SA (ex Sidech)","BASF",0
"6791","5N Plus Belgium SA (ex Sidech)","BASF",0
"6792","5N Plus Belgium SA (ex Sidech)","BASF",0
"6793","5N Plus Belgium SA (ex Sidech)","BASF",0
"6794","5N Plus Belgium SA (ex Sidech)","BASF",0
"6795","5N Plus Belgium SA (ex Sidech)","BASF",0
"6796","5N Plus Belgium SA (ex Sidech)","BASF",0
"6797","5N Plus Belgium SA (ex Sidech)","BASF",0
"6798","5N Plus Belgium SA (ex Sidech)","BASF",0
"6799","5N Plus Belgium SA (ex Sidech)","BASF",0
"6800","5N Plus Belgium SA (ex Sidech)","BASF",0
"6801","5N Plus Belgium SA (ex Sidech)","BASF",0
"6802","5N Plus Belgium SA (ex Sidech)","BASF",0
"6803","5N Plus Belgium SA (ex Sidech)","BASF",0
"6804","5N Plus Belgium SA (ex Sidech)","BASF",0
"6805","5N Plus Belgium SA (ex Sidech)","BASF",0
"6806","5N Plus Belgium SA (ex Sidech)","BASF",0
"6807","5N Plus Belgium SA (ex Sidech)","BASF",0
"6808","5N Plus Belgium SA (ex Sidech)","BASF",0
"6809","5N Plus Belgium SA (ex Sidech)","BASF",0
"6810","5N Plus Belgium SA (ex Sidech)","BASF",0
"6811","5N Plus Belgium SA (ex Sidech)","BASF",0
"6812","5N Plus Belgium SA (ex Sidech)","BASF",0
"6813","5N Plus Belgium SA (ex Sidech)","BASF",0
"6814","5N Plus Belgium SA (ex Sidech)","BASF",0
"6815","5N Plus Belgium SA (ex Sidech)","BASF",0
"6816","5N Plus Belgium SA (ex Sidech)","BASF",0
"6817","5N Plus Belgium SA (ex Sidech)","BASF",0
"6818","5N Plus Belgium SA (ex Sidech)","BASF",0
"6819","5N Plus Belgium SA (ex Sidech)","BASF",0
"6820","5N Plus Belgium SA (ex Sidech)","BASF",0
"6821","5N Plus Belgium SA (ex Sidech)","BASF",0
"6822","5N Plus Belgium SA (ex Sidech)","BASF",0
"6823","5N Plus Belgium SA (ex Sidech)","BASF",0
"6824","5N Plus Belgium SA (ex Sidech)","BASF",0
"6825","5N Plus Belgium SA (ex Sidech)","BASF",0
"6826","5N Plus Belgium SA (ex Sidech)","BASF",0
"6827","5N Plus Belgium SA (ex Sidech)","BASF",0
"6828","5N Plus Belgium SA (ex Sidech)","BASF",0
"6829","5N Plus Belgium SA (ex Sidech)","BASF",0
"6830","5N Plus Belgium SA (ex Sidech)","BASF",0
"6831","5N Plus Belgium SA (ex Sidech)","BASF",0
"6832","5N Plus Belgium SA (ex Sidech)","BASF",0
"6833","5N Plus Belgium SA (ex Sidech)","BASF",0
"6834","5N Plus Belgium SA (ex Sidech)","BASF",0
"6835","5N Plus Belgium SA (ex Sidech)","BASF",0
"6836","5N Plus Belgium SA (ex Sidech)","BASF",0
"6837","5N Plus Belgium SA (ex Sidech)","BASF",0
"6838","5N Plus Belgium SA (ex Sidech)","BASF",0
"6839","5N Plus Belgium SA (ex Sidech)","BASF",0
"6840","5N Plus Belgium SA (ex Sidech)","BASF",0
"6841","5N Plus Belgium SA (ex Sidech)","BASF",0
"6842","5N Plus Belgium SA (ex Sidech)","BASF",0
"6843","5N Plus Belgium SA (ex Sidech)","BASF",0
"6844","5N Plus Belgium SA (ex Sidech)","BASF",0
"6845","5N Plus Belgium SA (ex Sidech)","BASF",0
"6846","5N Plus Belgium SA (ex Sidech)","BASF",0
"6847","5N Plus Belgium SA (ex Sidech)","BASF",0
"6848","5N Plus Belgium SA (ex Sidech)","BASF",0
"6849","5N Plus Belgium SA (ex Sidech)","BASF",0
"6850","5N Plus Belgium SA (ex Sidech)","BASF",0
"6851","5N Plus Belgium SA (ex Sidech)","BASF",0
"6852","5N Plus Belgium SA (ex Sidech)","BASF",0
"6853","5N Plus Belgium SA (ex Sidech)","BASF",0
"6854","5N Plus Belgium SA (ex Sidech)","BASF",0
"6855","5N Plus Belgium SA (ex Sidech)","BASF",0
"6856","5N Plus Belgium SA (ex Sidech)","BASF",0
"6857","5N Plus Belgium SA (ex Sidech)","BASF",0
"6858","5N Plus Belgium SA (ex Sidech)","BASF",0
"6859","5N Plus Belgium SA (ex Sidech)","BASF",0
"6860","5N Plus Belgium SA (ex Sidech)","BASF",0
"6861","5N Plus Belgium SA (ex Sidech)","BASF",0
"6862","5N Plus Belgium SA (ex Sidech)","BASF",0
"6863","5N Plus Belgium SA (ex Sidech)","BASF",0
"6864","5N Plus Belgium SA (ex Sidech)","BASF",0
"6865","5N Plus Belgium SA (ex Sidech)","BASF",0
"6866","5N Plus Belgium SA (ex Sidech)","BASF",0
"6867","5N Plus Belgium SA (ex Sidech)","BASF",0
"6868","5N Plus Belgium SA (ex Sidech)","BASF",0
"6869","5N Plus Belgium SA (ex Sidech)","BASF",0
"6870","5N Plus Belgium SA (ex Sidech)","BASF",0
"6871","5N Plus Belgium SA (ex Sidech)","BASF",0
"6872","5N Plus Belgium SA (ex Sidech)","BASF",0
"6873","5N Plus Belgium SA (ex Sidech)","BASF",0
"6874","5N Plus Belgium SA (ex Sidech)","BASF",0
"6875","5N Plus Belgium SA (ex Sidech)","BASF",0
"6876","5N Plus Belgium SA (ex Sidech)","BASF",0
"6877","5N Plus Belgium SA (ex Sidech)","BASF",0
"6878","5N Plus Belgium SA (ex Sidech)","BASF",0
"6879","5N Plus Belgium SA (ex Sidech)","BASF",0
"6880","5N Plus Belgium SA (ex Sidech)","BASF",0
"6881","5N Plus Belgium SA (ex Sidech)","BASF",0
"6882","5N Plus Belgium SA (ex Sidech)","BASF",0
"6883","5N Plus Belgium SA (ex Sidech)","BASF",0
"6884","5N Plus Belgium SA (ex Sidech)","BASF",0
"6885","5N Plus Belgium SA (ex Sidech)","BASF",0
"6886","5N Plus Belgium SA (ex Sidech)","BASF",0
"6887","5N Plus Belgium SA (ex Sidech)","BASF",0
"6888","5N Plus Belgium SA (ex Sidech)","BASF",0
"6889","5N Plus Belgium SA (ex Sidech)","BASF",0
"6890","5N Plus Belgium SA (ex Sidech)","BASF",0
"6891","5N Plus Belgium SA (ex Sidech)","BASF",0
"6892","5N Plus Belgium SA (ex Sidech)","BASF",0
"6893","5N Plus Belgium SA (ex Sidech)","BASF",0
"6894","5N Plus Belgium SA (ex Sidech)","BASF",0
"6895","5N Plus Belgium SA (ex Sidech)","BASF",0
"6896","5N Plus Belgium SA (ex Sidech)","BASF",0
"6897","5N Plus Belgium SA (ex Sidech)","BASF",0
"6898","5N Plus Belgium SA (ex Sidech)","BASF",0
"6899","5N Plus Belgium SA (ex Sidech)","BASF",0
"6900","5N Plus Belgium SA (ex Sidech)","BASF",0
"6901","5N Plus Belgium SA (ex Sidech)","BASF",0
"6902","5N Plus Belgium SA (ex Sidech)","BASF",0
"6903","5N Plus Belgium SA (ex Sidech)","BASF",0
"6904","5N Plus Belgium SA (ex Sidech)","BASF",0
"6905","5N Plus Belgium SA (ex Sidech)","BASF",0
"6906","5N Plus Belgium SA (ex Sidech)","BASF",0
"6907","5N Plus Belgium SA (ex Sidech)","BASF",0
"6908","5N Plus Belgium SA (ex Sidech)","BASF",0
"6909","5N Plus Belgium SA (ex Sidech)","BASF",0
"6910","5N Plus Belgium SA (ex Sidech)","BASF",0
"6911","5N Plus Belgium SA (ex Sidech)","BASF",0
"6912","5N Plus Belgium SA (ex Sidech)","BASF",0
"6913","5N Plus Belgium SA (ex Sidech)","BASF",0
"6914","5N Plus Belgium SA (ex Sidech)","BASF",0
"6915","5N Plus Belgium SA (ex Sidech)","BASF",0
"6916","5N Plus Belgium SA (ex Sidech)","BASF",0
"6917","5N Plus Belgium SA (ex Sidech)","BASF",0
"6918","5N Plus Belgium SA (ex Sidech)","BASF",0
"6919","5N Plus Belgium SA (ex Sidech)","BASF",0
"6920","5N Plus Belgium SA (ex Sidech)","BASF",0
"6921","5N Plus Belgium SA (ex Sidech)","BASF",0
"6922","5N Plus Belgium SA (ex Sidech)","BASF",0
"6923","5N Plus Belgium SA (ex Sidech)","BASF",0
"6924","5N Plus Belgium SA (ex Sidech)","BASF",0
"6925","5N Plus Belgium SA (ex Sidech)","BASF",0
"6926","5N Plus Belgium SA (ex Sidech)","BASF",0
"6927","5N Plus Belgium SA (ex Sidech)","BASF",0
"6928","5N Plus Belgium SA (ex Sidech)","BASF",0
"6929","5N Plus Belgium SA (ex Sidech)","BASF",0
"6930","5N Plus Belgium SA (ex Sidech)","BASF",0
"6931","5N Plus Belgium SA (ex Sidech)","BASF",0
"6932","5N Plus Belgium SA (ex Sidech)","BASF",0
"6933","5N Plus Belgium SA (ex Sidech)","BASF",0
"6934","5N Plus Belgium SA (ex Sidech)","BASF",0
"6935","5N Plus Belgium SA (ex Sidech)","BASF",0
"6936","5N Plus Belgium SA (ex Sidech)","BASF",0
"6937","5N Plus Belgium SA (ex Sidech)","BASF",0
"6938","5N Plus Belgium SA (ex Sidech)","BASF",0
"6939","5N Plus Belgium SA (ex Sidech)","BASF",0
"6940","5N Plus Belgium SA (ex Sidech)","BASF",0
"6941","5N Plus Belgium SA (ex Sidech)","BASF",0
"6942","5N Plus Belgium SA (ex Sidech)","BASF",0
"6943","5N Plus Belgium SA (ex Sidech)","BASF",0
"6944","5N Plus Belgium SA (ex Sidech)","BASF",0
"6945","5N Plus Belgium SA (ex Sidech)","BASF",0
"6946","5N Plus Belgium SA (ex Sidech)","BASF",0
"6947","5N Plus Belgium SA (ex Sidech)","BASF",0
"6948","5N Plus Belgium SA (ex Sidech)","BASF",0
"6949","5N Plus Belgium SA (ex Sidech)","BASF",0
"6950","5N Plus Belgium SA (ex Sidech)","BASF",0
"6951","5N Plus Belgium SA (ex Sidech)","BASF",0
"6952","5N Plus Belgium SA (ex Sidech)","BASF",0
"6953","5N Plus Belgium SA (ex Sidech)","BASF",0
"6954","5N Plus Belgium SA (ex Sidech)","BASF",0
"6955","5N Plus Belgium SA (ex Sidech)","BASF",0
"6956","5N Plus Belgium SA (ex Sidech)","BASF",0
"6957","5N Plus Belgium SA (ex Sidech)","BASF",0
"6958","5N Plus Belgium SA (ex Sidech)","BASF",0
"6959","5N Plus Belgium SA (ex Sidech)","BASF",0
"6960","5N Plus Belgium SA (ex Sidech)","BASF",0
"6961","5N Plus Belgium SA (ex Sidech)","BASF",0
"6962","5N Plus Belgium SA (ex Sidech)","BASF",0
"6963","5N Plus Belgium SA (ex Sidech)","BASF",0
"6964","5N Plus Belgium SA (ex Sidech)","BASF",0
"6965","5N Plus Belgium SA (ex Sidech)","BASF",0
"6966","5N Plus Belgium SA (ex Sidech)","BASF",0
"6967","5N Plus Belgium SA (ex Sidech)","BASF",0
"6968","5N Plus Belgium SA (ex Sidech)","BASF",0
"6969","5N Plus Belgium SA (ex Sidech)","BASF",0
"6970","5N Plus Belgium SA (ex Sidech)","BASF",0
"6971","5N Plus Belgium SA (ex Sidech)","BASF",0
"6972","5N Plus Belgium SA (ex Sidech)","BASF",0
"6973","5N Plus Belgium SA (ex Sidech)","BASF",0
"6974","5N Plus Belgium SA (ex Sidech)","BASF",0
"6975","5N Plus Belgium SA (ex Sidech)","BASF",0
"6976","5N Plus Belgium SA (ex Sidech)","BASF",0
"6977","5N Plus Belgium SA (ex Sidech)","BASF",0
"6978","5N Plus Belgium SA (ex Sidech)","BASF",0
"6979","5N Plus Belgium SA (ex Sidech)","BASF",0
"6980","5N Plus Belgium SA (ex Sidech)","BASF",0
"6981","5N Plus Belgium SA (ex Sidech)","BASF",0
"6982","5N Plus Belgium SA (ex Sidech)","BASF",0
"6983","5N Plus Belgium SA (ex Sidech)","BASF",0
"6984","5N Plus Belgium SA (ex Sidech)","BASF",0
"6985","5N Plus Belgium SA (ex Sidech)","BASF",0
"6986","5N Plus Belgium SA (ex Sidech)","BASF",0
"6987","5N Plus Belgium SA (ex Sidech)","BASF",0
"6988","5N Plus Belgium SA (ex Sidech)","BASF",0
"6989","5N Plus Belgium SA (ex Sidech)","BASF",0
"6990","5N Plus Belgium SA (ex Sidech)","BASF",0
"6991","5N Plus Belgium SA (ex Sidech)","BASF",0
"6992","5N Plus Belgium SA (ex Sidech)","BASF",0
"6993","5N Plus Belgium SA (ex Sidech)","BASF",0
"6994","5N Plus Belgium SA (ex Sidech)","BASF",0
"6995","5N Plus Belgium SA (ex Sidech)","BASF",0
"6996","5N Plus Belgium SA (ex Sidech)","BASF",0
"6997","5N Plus Belgium SA (ex Sidech)","BASF",0
"6998","5N Plus Belgium SA (ex Sidech)","BASF",0
"6999","5N Plus Belgium SA (ex Sidech)","BASF",0
"7000","5N Plus Belgium SA (ex Sidech)","BASF",0
"7001","5N Plus Belgium SA (ex Sidech)","BASF",0
"7002","5N Plus Belgium SA (ex Sidech)","BASF",0
"7003","5N Plus Belgium SA (ex Sidech)","BASF",0
"7004","5N Plus Belgium SA (ex Sidech)","BASF",0
"7005","5N Plus Belgium SA (ex Sidech)","BASF",0
"7006","5N Plus Belgium SA (ex Sidech)","BASF",0
"7007","5N Plus Belgium SA (ex Sidech)","BASF",0
"7008","5N Plus Belgium SA (ex Sidech)","BASF",0
"7009","5N Plus Belgium SA (ex Sidech)","BASF",0
"7010","5N Plus Belgium SA (ex Sidech)","BASF",0
"7011","5N Plus Belgium SA (ex Sidech)","BASF",0
"7012","5N Plus Belgium SA (ex Sidech)","BASF",0
"7013","5N Plus Belgium SA (ex Sidech)","BASF",0
"7014","5N Plus Belgium SA (ex Sidech)","BASF",0
"7015","5N Plus Belgium SA (ex Sidech)","BASF",0
"7016","5N Plus Belgium SA (ex Sidech)","BASF",0
"7017","5N Plus Belgium SA (ex Sidech)","BASF",0
"7018","5N Plus Belgium SA (ex Sidech)","BASF",0
"7019","5N Plus Belgium SA (ex Sidech)","BASF",0
"7020","5N Plus Belgium SA (ex Sidech)","BASF",0
"7021","5N Plus Belgium SA (ex Sidech)","BASF",0
"7022","5N Plus Belgium SA (ex Sidech)","BASF",0
"7023","5N Plus Belgium SA (ex Sidech)","BASF",0
"7024","5N Plus Belgium SA (ex Sidech)","BASF",0
"7025","5N Plus Belgium SA (ex Sidech)","BASF",0
"7026","5N Plus Belgium SA (ex Sidech)","BASF",0
"7027","5N Plus Belgium SA (ex Sidech)","BASF",0
"7028","5N Plus Belgium SA (ex Sidech)","BASF",0
"7029","5N Plus Belgium SA (ex Sidech)","BASF",0
"7030","5N Plus Belgium SA (ex Sidech)","BASF",0
"7031","5N Plus Belgium SA (ex Sidech)","BASF",0
"7032","5N Plus Belgium SA (ex Sidech)","BASF",0
"7033","5N Plus Belgium SA (ex Sidech)","BASF",0
"7034","5N Plus Belgium SA (ex Sidech)","BASF",0
"7035","5N Plus Belgium SA (ex Sidech)","BASF",0
"7036","5N Plus Belgium SA (ex Sidech)","BASF",0
"7037","5N Plus Belgium SA (ex Sidech)","BASF",0
"7038","5N Plus Belgium SA (ex Sidech)","BASF",0
"7039","5N Plus Belgium SA (ex Sidech)","BASF",0
"7040","5N Plus Belgium SA (ex Sidech)","BASF",0
"7041","5N Plus Belgium SA (ex Sidech)","BASF",0
"7042","5N Plus Belgium SA (ex Sidech)","BASF",0
"7043","5N Plus Belgium SA (ex Sidech)","BASF",0
"7044","5N Plus Belgium SA (ex Sidech)","BASF",0
"7045","5N Plus Belgium SA (ex Sidech)","BASF",0
"7046","5N Plus Belgium SA (ex Sidech)","BASF",0
"7047","5N Plus Belgium SA (ex Sidech)","BASF",0
"7048","5N Plus Belgium SA (ex Sidech)","BASF",0
"7049","5N Plus Belgium SA (ex Sidech)","BASF",0
"7050","5N Plus Belgium SA (ex Sidech)","BASF",0
"7051","5N Plus Belgium SA (ex Sidech)","BASF",0
"7052","5N Plus Belgium SA (ex Sidech)","BASF",0
"7053","5N Plus Belgium SA (ex Sidech)","BASF",0
"7054","5N Plus Belgium SA (ex Sidech)","BASF",0
"7055","5N Plus Belgium SA (ex Sidech)","BASF",0
"7056","5N Plus Belgium SA (ex Sidech)","BASF",0
"7057","5N Plus Belgium SA (ex Sidech)","BASF",0
"7058","5N Plus Belgium SA (ex Sidech)","BASF",0
"7059","5N Plus Belgium SA (ex Sidech)","BASF",0
"7060","5N Plus Belgium SA (ex Sidech)","BASF",0
"7061","5N Plus Belgium SA (ex Sidech)","BASF",0
"7062","5N Plus Belgium SA (ex Sidech)","BASF",0
"7063","5N Plus Belgium SA (ex Sidech)","BASF",0
"7064","5N Plus Belgium SA (ex Sidech)","BASF",0
"7065","5N Plus Belgium SA (ex Sidech)","BASF",0
"7066","5N Plus Belgium SA (ex Sidech)","BASF",0
"7067","5N Plus Belgium SA (ex Sidech)","BASF",0
"7068","5N Plus Belgium SA (ex Sidech)","BASF",0
"7069","5N Plus Belgium SA (ex Sidech)","BASF",0
"7070","5N Plus Belgium SA (ex Sidech)","BASF",0
"7071","5N Plus Belgium SA (ex Sidech)","BASF",0
"7072","5N Plus Belgium SA (ex Sidech)","BASF",0
"7073","5N Plus Belgium SA (ex Sidech)","BASF",0
"7074","5N Plus Belgium SA (ex Sidech)","BASF",0
"7075","5N Plus Belgium SA (ex Sidech)","BASF",0
"7076","5N Plus Belgium SA (ex Sidech)","BASF",0
"7077","5N Plus Belgium SA (ex Sidech)","BASF",0
"7078","5N Plus Belgium SA (ex Sidech)","BASF",0
"7079","5N Plus Belgium SA (ex Sidech)","BASF",0
"7080","5N Plus Belgium SA (ex Sidech)","BASF",0
"7081","5N Plus Belgium SA (ex Sidech)","BASF",0
"7082","5N Plus Belgium SA (ex Sidech)","BASF",0
"7083","5N Plus Belgium SA (ex Sidech)","BASF",0
"7084","5N Plus Belgium SA (ex Sidech)","BASF",0
"7085","5N Plus Belgium SA (ex Sidech)","BASF",0
"7086","5N Plus Belgium SA (ex Sidech)","BASF",0
"7087","5N Plus Belgium SA (ex Sidech)","BASF",0
