"","customer","supplier","qty"
"133","Tensachem","BRENNTAG",3000
"134","UCB PHARMA S.A.","YARA",99
"135","UMICORE SPECIALTY MATERIALS BRUGGE","ACHEMA",100
"136","UMICORE SPECIALTY MATERIALS BRUGGE","ACRON",207
"137","UNILIN","YARA",100
"138","UNILIN","ACHEMA",68
"139","UNILIN","BRENNTAG",1100
"140","UNILIN","YARA",1092
"141","UNIVAR BELGIUM N.V.","YARA",70
"142","UNIVAR BELGIUM N.V.","BOREALIS",380
"143","UNIVAR BELGIUM N.V.","BRENNTAG",300
"144","UNIVAR BELGIUM N.V.","YARA",300
"145","UNIVAR BELGIUM N.V.","BOREALIS",550
"146","UNIVAR BELGIUM N.V.","BRENNTAG",400
"147","UNIVAR BELGIUM N.V.","YARA",60
"148","UNIVAR BELGIUM N.V.","BOREALIS",100
"149","Ursa (ex Isoglass)","ACHEMA",100
"150","Danalim","BRENNTAG",5
"151","DLA","YARA",100
"152","DLA","ACHEMA",1023
"153","Nordalim A/S","YARA",135
"154","Brenntag Nordic","YARA",115
"155","Brenntag Nordic","YARA",162
"156","Brenntag Nordic","YARA",2468
"157","Brenntag Nordic A/S","YARA",7444
"158","Sirena Soap","BRENNTAG",25
"159","GC Rieber Salt A/S","YARA",138
"160","Tanggaard","YARA",24
"161","Chr. Hansen","BRENNTAG",1500
"162","Chr. Hansen","BRENNTAG",200
"163","Karup Lufthavn","YARA",11
"164","Itw Novadan ApS","YARA",1
"165","Azelis Denmark","YARA",197
"166","Rockwool","ACHEMA",100
"167","Rockwool","ACRON",2541
"168","Rockwool","ACHEMA",25
"169","Rockwool","ACRON",958
"170","Rockwool","YARA",100
"171","Rockwool","ACHEMA",3828
"172","Rockwool","YARA",1121
"173","Rockwool","YARA",189
"174","Rockwool","ACHEMA",34
"175","Rockwool","FERTIBERIA",1000
"176","Rockwool","ACHEMA",100
"177","Rockwool","SKW",1500
"178","V ga Floghavn","YARA",49
"179","Aalborg Lufthavn Amba","YARA",12
"180","DuPont Nutrition Biosciences ApS","YARA",66
"181","Kronospan ApS","YARA",1262
"182","LCH Chemicals","YARA",18
"183","Occo ApS","YARA",66
"184","Nordical","YARA",16
"185","Nordical A/S","YARA",30
"186","Nordical A/S","YARA",1
"187","DLG","YARA",3461
"188","DLG","YARA",280
"189","Junckers Industrier A/S","YARA",28
"190","De Danske G‘rfabrikker","YARA",3102
